Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
Ne	20	10	50	124.291	1	1000	0	14.495	11.192	32.425	35.705	16.503	59.358	0.631405	0.526953	2.48226e-06	5.16934e-06	0.4
Ne	20	10	50	124.291	2	1000	0	28.93	22.579	65.907	72.564	33.29	123.26	0.389143	1.08433	3.13915e-06	1.06453e-05	0.4
Ne	20	10	50	124.291	4	1000	0	57.887	45.193	132.22	145.51	66.262	249.547	0.14775	2.18649	2.43019e-06	2.14729e-05	0.4
Ne	20	10	100	72.7635	0.5	1000	0	12.394	9.562	16.72	17.729	10.199	16.483	0.832112	0.195401	1.37951e-06	1.87655e-06	0.4
Ne	20	10	100	72.7635	1	1000	0	24.722	19.295	34.104	36.243	20.485	34.874	0.682601	0.405463	2.35573e-06	3.8988e-06	0.4
Ne	20	10	100	72.7635	2	1000	0	49.421	38.498	68.476	72.67	40.996	70.234	0.464449	0.814561	3.22e-06	7.8338e-06	0.4
Ne	20	10	100	72.7635	4	1000	0	99.086	77.591	138.565	147.103	82.285	145.985	0.209029	1.66833	2.95026e-06	1.60603e-05	0.4
Ne	20	10	200	44.8328	0.5	1000	0	20.082	15.634	17.18	17.912	11.761	10.749	0.850691	0.167307	1.25571e-06	1.58222e-06	0.4
Ne	20	10	200	44.8328	1	1000	0	40.09	31.273	34.913	36.436	23.874	22.234	0.717881	0.342211	2.17834e-06	3.23809e-06	0.4
Ne	20	10	200	44.8328	2	1000	0	80.427	62.852	70.311	73.275	48.039	44.628	0.51359	0.68777	3.13345e-06	6.50743e-06	0.4
Ne	20	10	200	44.8328	4	1000	0	161.004	126.332	141.057	147.041	95.517	92.003	0.260078	1.39263	3.2042e-06	1.31885e-05	0.4
Ne	20	10	400	30.2604	0.5	1000	0	29.71	23.155	17.015	17.593	12.847	7.299	0.865237	0.147709	1.14636e-06	1.3809e-06	0.4
Ne	20	10	400	30.2604	1	1000	0	59.581	46.525	34.688	35.857	26.001	15.122	0.743666	0.302304	2.01625e-06	2.82752e-06	0.4
Ne	20	10	400	30.2604	2	1000	0	119.162	93.336	70.001	72.279	52.121	30.961	0.549273	0.611813	3.01284e-06	5.72503e-06	0.4
Ne	20	10	400	30.2604	4	1000	0	238.386	187.231	140.986	145.587	104.061	64.084	0.296546	1.24111	3.30345e-06	1.1623e-05	0.4
Ne	20	10	800	23.2827	0.5	1000	0	38.635	30.107	16.879	17.347	13.457	5.546	0.873681	0.137224	1.07707e-06	1.27387e-06	0.4
Ne	20	10	800	23.2827	1	1000	0	77.278	60.394	34.508	35.468	27.356	11.546	0.757726	0.281624	1.92206e-06	2.61556e-06	0.4
Ne	20	10	800	23.2827	2	1000	0	154.996	121.617	69.413	71.307	54.697	23.447	0.571968	0.567388	2.92093e-06	5.27092e-06	0.4
Ne	20	10	800	23.2827	4	1000	0	309.874	243.44	138.744	142.631	107.969	50.004	0.32221	1.15074	3.33985e-06	1.0708e-05	0.4
Ne	20	10	1000	22.0775	0.5	1000	0	40.708	31.754	16.692	17.156	13.408	5.18	0.875948	0.134158	1.06117e-06	1.24364e-06	0.4
Ne	20	10	1000	22.0775	1	1000	0	81.649	63.802	34.09	34.954	27.096	11.088	0.761779	0.27606	1.89498e-06	2.56221e-06	0.4
Ne	20	10	1000	22.0775	2	1000	0	163.485	128.277	68.598	70.439	54.502	22.442	0.577308	0.556811	2.90314e-06	5.16853e-06	0.4
Ne	20	10	1000	22.0775	4	1000	0	326.824	256.766	137.428	141.225	108.051	46.927	0.329752	1.12622	3.34634e-06	1.04652e-05	0.4
Ne	20	10	1600	20.6857	0.5	1000	0	43.372	33.842	15.904	16.287	12.955	4.42	0.883982	0.124824	9.95301e-07	1.15421e-06	0.4
Ne	20	10	1600	20.6857	1	1000	0	87.129	68.148	32.439	33.302	26.201	9.77	0.774447	0.258964	1.80888e-06	2.39893e-06	0.4
Ne	20	10	1600	20.6857	2	1000	0	174.48	136.934	64.858	66.547	52.211	19.74	0.599588	0.518589	2.80147e-06	4.80527e-06	0.4
Ne	20	10	1600	20.6857	4	1000	0	348.88	273.947	129.145	132.433	103.087	41.031	0.358604	1.04094	3.35861e-06	9.65563e-06	0.4
Si	28	14	10	821.226	0.5	1000	0	1.105	0.748	7.93	12.976	2.64	179.58	0.829848	0.997347	4.59244e-07	1.02741e-05	0.4
Si	28	14	10	821.226	1	1000	0	2.157	1.498	16.408	26.586	5.208	336.366	0.690095	1.88243	7.10675e-07	1.93729e-05	0.4
Si	28	14	10	821.226	2	1000	0	4.35	3.172	37.001	60.336	11.823	783.957	0.440468	4.37709	9.81999e-07	4.506e-05	0.4
Si	28	14	10	821.226	4	1000	0	8.437	6.516	83.965	137.467	26.05	1774.39	0.159122	9.9127	8.09265e-07	0.000102039	0.4
Si	28	14	50	243.148	0.5	1000	0	3.732	2.676	13.848	16.301	6.153	49.726	0.782069	0.355973	1.36728e-06	3.56225e-06	0.4
Si	28	14	50	243.148	1	1000	0	7.238	5.574	29.998	35.315	13.144	112.772	0.572877	0.796915	2.26892e-06	7.98538e-06	0.4
Si	28	14	50	243.148	2	1000	0	14.756	11.407	60.567	71.19	26.485	227.6	0.328313	1.60783	2.58466e-06	1.61116e-05	0.4
Si	28	14	50	243.148	4	1000	0	29.582	23.061	122.117	143.903	52.799	470.458	0.108293	3.30305	1.67033e-06	3.31199e-05	0.4
Si	28	14	100	142.591	0.5	1000	0	6.229	4.722	16.091	17.778	8.153	32.445	0.790709	0.277115	1.55124e-06	2.72743e-06	0.4
Si	28	14	100	142.591	1	1000	0	12.587	9.761	31.949	35.19	16.35	62.298	0.631138	0.538713	2.43952e-06	5.29648e-06	0.4
