Sample_ID,Fe_avg_nfoci_0_4h,Ar_avg_nfoci_0_4h,Si_avg_nfoci_0_4h,Gamma_avg_nfoci_0_4h,baseline_nfoci
1431,2.520989326,2.627527653,2.558338577,1.904387331,2.402810722
1432,1.860721341,1.95610822,2.92794149,1.326492197,2.017815812
1433,2.54793904,2.654932528,2.410497411,2.277222901,2.47264797
1434,2.830911033,2.942683714,3.060998539,1.960312666,2.698726488
1435,1.793347057,1.887596033,2.247872129,2.072163337,2.000244639
1436,2.07631905,2.175347219,2.15916743,1.717969546,2.032200811
1437,2.062844193,2.161644782,2.307008596,1.867103774,2.099650336
1438,1.739447629,1.832786284,1.952189799,1.28920864,1.703408088
1439,2.251492189,2.353478905,1.893053332,1.848461995,2.086621605
1440,2.480564756,2.586420341,1.745212167,1.66204421,2.118560368
1441,2.29191676,2.394586217,2.129599197,1.363775754,2.044969482
1442,2.467089899,2.572717904,2.410497411,1.307850419,2.189538908
1443,2.574888753,2.682337403,1.952189799,2.258581122,2.366999269
1444,2.750061892,2.860469089,3.149703239,2.612774914,2.843252283
1445,3.10040817,3.216732462,3.164487355,2.351790015,2.9583545
1448,1.496900206,1.58614241,1.242552204,0.935014849,1.315152417
1449,1.550799633,1.64095216,2.026110381,1.680685989,1.724637041
1451,1.577749347,1.668357035,2.070462731,1.643402432,1.739992886
1452,2.264967046,2.367181343,2.499202111,1.606118875,2.184367344
1453,2.049369337,2.147942344,2.351360945,1.587477096,2.034037431
1454,1.712497915,1.805381409,2.558338577,2.072163337,2.03709531
1455,1.658598488,1.750571659,2.292224479,1.773894881,1.868822377
1456,2.062844193,2.161644782,2.97229384,1.736611324,2.233348535
1457,2.386240758,2.490503279,2.898373257,2.911043369,2.671540166
1458,1.240877926,1.3257961,1.700859817,2.109446894,1.594245184
1459,1.577749347,1.668357035,2.395713295,1.28920864,1.732757079
1460,1.348676781,1.435415599,1.43474572,1.755253103,1.4935228
1461,1.146553928,1.229879038,1.996542148,1.606118875,1.494773497
1462,1.402576208,1.490225349,1.922621565,1.680685989,1.624027278
1463,1.321727067,1.408010724,2.484417994,1.531551761,1.686426887
1464,1.550799633,1.64095216,2.336576829,2.314506458,1.96070877
1465,1.860721341,1.860191159,2.188735663,1.755253103,1.916225316
1466,1.766397343,1.860191159,2.58790681,1.606118875,1.955153547
1467,1.752922486,1.846488721,2.720963859,1.456984647,1.944339928
1468,1.672073345,1.764274097,2.292224479,1.736611324,1.866295811
1469,1.160028785,1.243581475,2.336576829,1.550193539,1.572595157
1470,2.022419623,2.120537469,2.809668558,1.904387331,2.214253245
1471,1.416051065,1.503927786,2.055678614,1.568835318,1.636123196
1472,1.402576208,1.490225349,1.641723351,1.251925083,1.446612498
1473,1.766397343,1.860191159,1.996542148,1.550193539,1.793331047
1474,1.443000779,1.531332661,1.641723351,1.606118875,1.555543916
1475,1.537324777,1.627249723,2.351360945,1.550193539,1.766532246
1476,1.806821913,1.901298471,2.040894498,1.438342868,1.796839438
1477,2.022419623,2.120537469,2.055678614,1.494268204,1.923225978
1478,1.550799633,1.64095216,2.247872129,1.233283305,1.668226807
1479,1.941570482,2.038322845,2.218303896,1.102790855,1.82524702
1480,1.874196198,1.969810658,2.307008596,1.699327767,1.962585805
1481,2.022419623,2.120537469,2.706179742,1.382417533,2.057888592
1483,1.254352783,1.339498537,2.188735663,1.829820217,1.6531018
1484,1.591224204,1.682059472,1.907837449,1.401059311,1.645545109
1485,1.146553928,1.229879038,1.686075701,1.177357969,1.309966659
1487,1.591224204,1.682059472,1.833916866,1.550193539,1.66434852
1488,2.143693334,2.243859406,2.469633878,1.606118875,2.115826373
1489,1.496900206,1.58614241,2.20351978,1.606118875,1.723170318
1490,1.631648774,1.723166784,2.454849761,1.345133976,1.788699824
1491,1.335201924,1.421713162,1.508666302,0.879089513,1.286167725
1493,1.550799633,1.64095216,1.700859817,1.494268204,1.596719954
1494,1.483425349,1.572439973,1.301688671,1.624760653,1.495578662
1495,1.294777353,1.380605849,1.257336321,1.41970109,1.338105153
1496,1.26782764,1.353200974,1.612155118,1.28920864,1.380598093
1498,1.402576208,1.490225349,1.597371001,1.736611324,1.556695971
1499,1.496900206,1.58614241,1.464313953,1.382417533,1.482443525
1500,1.227403069,1.312093662,0.695539892,0.879089513,1.028531534
1501,1.699023059,1.791678972,1.952189799,1.717969546,1.790215344
